S1,S2,S3,S4,S5,PM2.5,0.3,0.5,1,2.5
2.12E-08,9.089456197,0.020294296,0.709401885,9.62E-07,32.305,5042.348333,1536.58,342.755,35.515
3.71E-09,5.940312709,3.17E-07,2.319856128,6.01E-07,0.018888889,75.15925926,20.64314815,1.595740741,0.268333333
1.81E-11,12.73189708,8.03E-16,2.15E-05,2.38E-06,0.394791667,145.481875,40.54215278,3.291041667,0.350763889
1.05E-07,8.888464531,0.670538126,6.168193615,4.11E-12,0.009090909,14.29715278,3.995347222,0.643194444,0.3075
1.94E-09,8.458632272,3.271445474,2.832337532,1.50E-13,0.082222222,89.09930556,24.47,1.885277778,0.362638889
6.20E-12,18.75870617,2.16E-19,4.22E-06,1.02E-06,0.279375,106.2736806,29.44020833,2.408819444,0.344166667
0.000189488,8.907225658,0.00270609,1.365844598,1.64E-07,0.491736111,183.0442361,50.80430556,3.793055556,0.387291667
8.65E-05,17.96851787,3.58E-11,1.61774386,5.50E-06,0,24.63236111,6.687777778,0.682083333,0.301458333
1.69E-08,16.09005436,1.99E-08,6.278868792,1.13E-06,0.177777778,122.4183333,33.60472222,2.471527778,0.371805556
0.000130855,13.63352043,0.015409098,11.90181822,1.57E-08,0.143611111,127.3333333,34.78444444,2.419236111,0.341111111
7.30E-05,9.345855149,2.764757374,5.088706014,1.13E-07,1.192916667,344.6432639,96.11861111,6.308472222,0.422777778
0.001297121,12.77560085,8.84E-05,4.951943619,0.005037614,0.068263889,28.94881944,7.918125,0.842847222,0.288472222
1.62E-09,12.18944271,8.32E-17,1.24E-07,0.087025055,0.038055556,82.92229167,22.51979167,1.619861111,0.245625
2.21E-12,19.61495751,1.37E-20,2.80E-06,0.173618522,0.266875,168.1827778,46.37166667,2.919236111,0.352430556
3.386253732,2.166203035,6.09E-11,8.56E-05,1.08E-05,0.089027778,35.79680556,9.882222222,1.005555556,0.320902778
9.85E-08,9.371676943,1.19E-11,1.23E-11,0.002235184,0,33.535,9.202291667,0.87,0.242708333
5.82E-12,14.81563012,9.84E-20,4.13E-10,7.70E-05,0.475833333,224.1375,62.21638889,4.566527778,0.412222222
